,training_data_thu.csv_diff,count1,training_data_ICTCLAS.csv_diff,count2,training_data_thu.csv_SegmentedInput,training_data_ICTCLAS.csv_SegmentedInput
19,! 零存 ! 怎么办,2,! 零 ! 存 ! 怎么 ! 办,4,零存 整取 遇到 利息 变化 怎么办,零 存 整取 遇到 利息 变化 怎么 办
20,! 零存,1,! 零 ! 存,2,零存 整取 部分 提前 支取 可以 吗,零 存 整取 部分 提前 支取 可以 吗
21,! 零存,1,! 零 ! 存,2,零存 整取 部分 提前 支取 需要 看 身份证 吗,零 存 整取 部分 提前 支取 需要 看 身份证 吗
22,! 零存 ! 一部分,2,! 零 ! 存 ! 一 ! 部分,4,零存 整取 可以 不 可以 没 到期 取 一部分,零 存 整取 可以 不 可以 没 到期 取 一 部分
23,! 零存,1,! 零 ! 存,2,零存 整取 没 到期 支取 可以 吗,零 存 整取 没 到期 支取 可以 吗
24,! 零存 ! 不 ! 能,3,! 零 ! 存 ! 不能,3,零存 整取 能 不 能 部分 提前 支取,零 存 整取 能 不能 部分 提前 支取
25,! 零存 ! 凭 ! 证件,3,! 零 ! 存 ! 凭证 ! 件,4,零存 整取 能否 凭 证件 提前 支取,零 存 整取 能否 凭证 件 提前 支取
26,! 零存,1,! 零 ! 存,2,零存 整取 能否 全部 提前 支取,零 存 整取 能否 全部 提前 支取
27,! 零存,1,! 零 ! 存,2,零存 整取 让 不 让 部分 提前 支取,零 存 整取 让 不 让 部分 提前 支取
28,! 零存,1,! 零 ! 存,2,零存 整取 让 不 让 全部 提前 支取,零 存 整取 让 不 让 全部 提前 支取
29,! 零存,1,! 零 ! 存,2,零存 整取 提前 支取,零 存 整取 提前 支取
30,! 零存 ! 第一 ! 个,3,! 零 ! 存 ! 第一个,3,零存 整取 第一 个 月 存 多少,零 存 整取 第一个 月 存 多少
31,! 零存 ! 最 ! 少,3,! 零 ! 存 ! 最少,3,零存 整取 定期 最 少 存 多少 钱,零 存 整取 定期 最少 存 多少 钱
32,! 零存,1,! 零 ! 存,2,零存 整取 起 存 是 要 多少 钱,零 存 整取 起 存 是 要 多少 钱
33,! 零存 ! 起存,2,! 零 ! 存 ! 起 ! 存,4,零存 整取 起存 要 多少 钱,零 存 整取 起 存 要 多少 钱
34,! 零存 ! 首 ! 次,3,! 零 ! 存 ! 首次,3,零存 整取 首 次 存款 金额,零 存 整取 首次 存款 金额
35,! 零存,1,! 零 ! 存,2,零存 整取 业务 需要 存 多少 钱,零 存 整取 业务 需要 存 多少 钱
36,! 零存 ! 一 ! 年 ! 第一 ! 次 ! 最 ! 少,7,! 零 ! 存 ! 一年 ! 第一次 ! 最少,5,零存 整取 一 年 第一 次 最 少 多少 钱,零 存 整取 一年 第一次 最少 多少 钱
37,! 零存 ! 最 ! 少,3,! 零 ! 存 ! 最少,3,零存 整取 最 少 存 多少 钱,零 存 整取 最少 存 多少 钱
38,! 零存,1,! 零 ! 存,2,想 办理 零存 整取 起 存 多少,想 办理 零 存 整取 起 存 多少
39,! 零存,1,! 零 ! 存,2,柜台 零存 整取 开户 都 需要 什么,柜台 零 存 整取 开户 都 需要 什么
40,! 零存,1,! 零 ! 存,2,开 零存 整取 需要 开 身份证 吗,开 零 存 整取 需要 开 身份证 吗
41,! 零存,1,! 零 ! 存,2,零存 整取 开户 带 什么 去 柜台 办理,零 存 整取 开户 带 什么 去 柜台 办理
42,! 零存,1,! 零 ! 存,2,零存 整取 开户 能 代理 吗,零 存 整取 开户 能 代理 吗
43,! 零存,1,! 零 ! 存,2,零存 整取 开户 银行 能 代办 吗,零 存 整取 开户 银行 能 代办 吗
44,! 零存,1,! 零 ! 存,2,零存 整取 开户 直接 去 网点 吗,零 存 整取 开户 直接 去 网点 吗
45,! 零存,1,! 零 ! 存,2,零存 整取 需要 带 什么 开户,零 存 整取 需要 带 什么 开户
46,! 零存,1,! 零 ! 存,2,朋友 替 我 开 个 零存 整取 可以 吗,朋友 替 我 开 个 零 存 整取 可以 吗
47,! 零存,1,! 零 ! 存,2,我 想 给 我 孩子 办理 零存 整取 可以 吗,我 想 给 我 孩子 办理 零 存 整取 可以 吗
48,! 开零存 ! 怎么办,2,! 开 ! 零 ! 存 ! 怎么 ! 办,5,我 想 开零存 整取 怎么办,我 想 开 零 存 整取 怎么 办
49,! 零存 ! 销户,2,! 零 ! 存 ! 销 ! 户,4,零存 整取 办理 销户 支取,零 存 整取 办理 销 户 支取
50,! 零存 ! 销户,2,! 零 ! 存 ! 销 ! 户,4,零存 整取 存单 如何 销户,零 存 整取 存单 如何 销 户
51,! 零存 ! 销户,2,! 零 ! 存 ! 销 ! 户,4,零存 整取 存折 如何 销户,零 存 整取 存折 如何 销 户
52,! 零存 ! 销户,2,! 零 ! 存 ! 销 ! 户,4,零存 整取 如何 销户,零 存 整取 如何 销 户
53,! 零存 ! 销户,2,! 零 ! 存 ! 销 ! 户,4,零存 整取 销户 能 代办 吗,零 存 整取 销 户 能 代办 吗
54,! 零存 ! 销户,2,! 零 ! 存 ! 销 ! 户,4,零存 整取 销户 是 代理 可以 吗,零 存 整取 销 户 是 代理 可以 吗
55,! 零存 ! 销户,2,! 零 ! 存 ! 销 ! 户,4,零存 整取 销户 要 不 要 代 身份证,零 存 整取 销 户 要 不 要 代 身份证
56,! 零存 ! 销户,2,! 零 ! 存 ! 销 ! 户,4,零存 整取 销户 有 什么 问题,零 存 整取 销 户 有 什么 问题
57,! 零存 ! 销户,2,! 零 ! 存 ! 销 ! 户,4,零存 整取 销户 注意 什么,零 存 整取 销 户 注意 什么
58,! 凭 ! 证件 ! 零存,3,! 凭证 ! 件 ! 零 ! 存,4,凭 证件 支取 的 零存 整取 怎么 支取,凭证 件 支取 的 零 存 整取 怎么 支取
59,! 零存,1,! 零 ! 存,2,零存 整取 不 存 注意 什么,零 存 整取 不 存 注意 什么
60,! 零存 ! 怎么办,2,! 零 ! 存 ! 怎么 ! 办,4,零存 整取 当月 忘记 存款 怎么办,零 存 整取 当月 忘记 存款 怎么 办
61,! 零存,1,! 零 ! 存,2,零存 整取 后续 存款 注意 什么,零 存 整取 后续 存款 注意 什么
62,! 零存 ! 漏存,2,! 零 ! 存 ! 漏 ! 存,4,零存 整取 漏存 违约,零 存 整取 漏 存 违约
63,! 零存 ! 预存,2,! 零 ! 存 ! 预 ! 存,4,零存 整取 能 预存 吗,零 存 整取 能 预 存 吗
64,! 零存,1,! 零 ! 存,2,零存 整取 提前 存入 可以 吗,零 存 整取 提前 存入 可以 吗
65,! 零存,1,! 零 ! 存,2,零存 整取 违约 后 存入 利息,零 存 整取 违约 后 存入 利息
66,! 零存 ! 续 ! 存,3,! 零 ! 存 ! 续存,3,零存 整取 续 存 的 要求,零 存 整取 续存 的 要求
67,! 零存 ! 续 ! 存 ! 未 ! 怎么办,5,! 零 ! 存 ! 续存未 ! 怎么 ! 办,5,零存 整取 续 存 未 不 存 怎么办,零 存 整取 续存未 不 存 怎么 办
68,! 零存,1,! 零 ! 存,2,零存 整取 这个 月 忘记 存 了 怎么 办,零 存 整取 这个 月 忘记 存 了 怎么 办
69,! 一 ! 次,2,! 一次,1,按 月 定额 存储 ， 到期 一 次 支取 本息 的 业务 是 什么,按 月 定额 存储 ， 到期 一次 支取 本息 的 业务 是 什么
70,! 一 ! 年,2,! 一年,1,定期 一 年 ， 每个 月 存 的 定期 是 什么,定期 一年 ， 每个 月 存 的 定期 是 什么
71,! 零存,1,! 零 ! 存,2,零存 整取 的 含义,零 存 整取 的 含义
72,! 零存 ! 存期,2,! 零 ! 存 ! 存 ! 期,4,零存 整取 能 约定 存期 吗,零 存 整取 能 约定 存 期 吗
73,! 零存 ! 一 ! 次,3,! 零 ! 存 ! 一次,3,零存 整取 是 到期 一 次 支取 吗,零 存 整取 是 到期 一次 支取 吗
74,! 零存 ! 一 ! 次,3,! 零 ! 存 ! 一次,3,零存 整取 是 每个 月 存 一 次 吗,零 存 整取 是 每个 月 存 一次 吗
75,! 零存,1,! 零 ! 存,2,零存 整取 是 什么,零 存 整取 是 什么
76,,0,,0,有 按 周期 定期 存款 吗,有 按 周期 定期 存款 吗
77,! 一 ! 次,2,! 一次,1,有 没 有 每个 月 存 一 次 到期 全部 支取 的 定期,有 没 有 每个 月 存 一次 到期 全部 支取 的 定期
78,,0,,0,有 每月 都 存 一点 的 定期 吗,有 每月 都 存 一点 的 定期 吗
79,! 年 ! 期 ! 零存 ! 第 ! 12 ! 个 ! 漏存 ! 怎么办,8,! 年期 ! 零 ! 存 ! 第12个 ! 漏 ! 存 ! 怎么 ! 办,8,1 年 期 零存 整取 ， 第 12 个 月 漏存 怎么办,1 年期 零 存 整取 ， 第12个 月 漏 存 怎么 办
80,! 年 ! 期 ! 零存 ! 一个 ! 月 ! 漏存,6,! 年期 ! 零 ! 存 ! 一个月 ! 漏 ! 存,6,1 年 期 零存 整取 ， 最后 一个 月 漏存 ， 下 个 月 补 存 是否 可行,1 年期 零 存 整取 ， 最后 一个月 漏 存 ， 下 个 月 补 存 是否 可行
81,! 年 ! 期 ! 零存 ! 一个 ! 月 ! 漏存 ! 怎么办,7,! 年期 ! 零 ! 存 ! 一个月 ! 漏 ! 存 ! 怎么 ! 办,8,1 年 期 零存 整取 ， 最后 一个 月 漏存 怎么办,1 年期 零 存 整取 ， 最后 一个月 漏 存 怎么 办
82,! 零存 ! 1 ! 年 ! 第 ! 12 ! 个 ! 漏存 ! 如第 ! 13 ! 个,10,! 零 ! 存 ! 1年 ! 第12个 ! 漏 ! 存 ! 如 ! 第13个,8,零存 整取 定期 1 年 ， 第 12 个 月 漏存 ， 如第 13 个 月 补 存 是否 可行,零 存 整取 定期 1年 ， 第12个 月 漏 存 ， 如 第13个 月 补 存 是否 可行
83,! 零存 ! 1 ! 年 ! 一个 ! 月 ! 漏存,6,! 零 ! 存 ! 1年 ! 一个月 ! 漏 ! 存,6,零存 整取 定期 1 年 ， 最后 一个 月 漏存 ， 下 个 月 补 存 是否 可行,零 存 整取 定期 1年 ， 最后 一个月 漏 存 ， 下 个 月 补 存 是否 可行
84,! 零存 ! 一 ! 年 ! 第 ! 12 ! 个 ! 漏存 ! 如第 ! 13 ! 个,10,! 零 ! 存 ! 一年 ! 第12个 ! 漏 ! 存 ! 如 ! 第13个,8,零存 整取 定期 一 年 ， 第 12 个 月 漏存 ， 如第 13 个 月 补 存 是否 可行,零 存 整取 定期 一年 ， 第12个 月 漏 存 ， 如 第13个 月 补 存 是否 可行
85,! 零存 ! 一 ! 年 ! 一个 ! 月 ! 漏存,6,! 零 ! 存 ! 一年 ! 一个月 ! 漏 ! 存,6,零存 整取 定期 一 年 ， 最后 一个 月 漏存 ， 下 个 月 补 存 是否 可行,零 存 整取 定期 一年 ， 最后 一个月 漏 存 ， 下 个 月 补 存 是否 可行
86,! 零存 ! 第 ! 12 ! 个 ! 漏存 ! 怎么办,6,! 零 ! 存 ! 第12个 ! 漏 ! 存 ! 怎么 ! 办,7,一年期 零存 整取 ， 第 12 个 月 漏存 怎么办,一年期 零 存 整取 ， 第12个 月 漏 存 怎么 办
87,! 零存 ! 一个 ! 月 ! 漏存,4,! 零 ! 存 ! 一个月 ! 漏 ! 存,5,一年期 零存 整取 ， 最后 一个 月 漏存 ， 下 个 月 补 存 是否 可行,一年期 零 存 整取 ， 最后 一个月 漏 存 ， 下 个 月 补 存 是否 可行
88,! 零存 ! 一个 ! 月 ! 漏存 ! 怎么办,5,! 零 ! 存 ! 一个月 ! 漏 ! 存 ! 怎么 ! 办,7,一年期 零存 整取 ， 最后 一个 月 漏存 怎么办,一年期 零 存 整取 ， 最后 一个月 漏 存 怎么 办
89,,0,,0,存 定期 一般 多久,存 定期 一般 多久
90,! 几 ! 期,2,! 几期,1,定期 存款 分 几 期,定期 存款 分 几期
91,,0,,0,定期 最 长存 多久,定期 最 长存 多久
92,,0,,0,定期 最 短 多久,定期 最 短 多久
93,! 六 ! 个,2,! 六个,1,有 六 个 月 定期 吗,有 六个 月 定期 吗
94,! 三 ! 个,2,! 三个,1,有 三 个 月 定期 吗,有 三个 月 定期 吗
95,,0,,0,整存 定期 有 多少 期,整存 定期 有 多少 期
96,! 一 ! 年,2,! 一年,1,整存 定期 有 一 年 吗,整存 定期 有 一年 吗
97,! 死期,1,! 死 ! 期,2,整存 死期 能 办理 一个 月 吗,整存 死 期 能 办理 一个 月 吗
98,,0,,0,整存 整取 能 存 多久,整存 整取 能 存 多久
99,! 计 ! 息,2,! 计息,1,定期 部分 提前 支取 计 息 公式,定期 部分 提前 支取 计息 公式
100,! 到期,1,! 到 ! 期,2,定期 到期 支取 的 计算 公式,定期 到 期 支取 的 计算 公式
101,,0,,0,定期 全部 提前 支取 公式,定期 全部 提前 支取 公式
102,! 转存,1,! 转 ! 存,2,定期 转存 后 到期 支取 的 计算 公式,定期 转 存 后 到期 支取 的 计算 公式
103,,0,,0,给 我 算算 定期 利息,给 我 算算 定期 利息
104,,0,,0,提前 支取 整存 整取 利息 计算,提前 支取 整存 整取 利息 计算
105,! 计 ! 息,2,! 计息,1,整存 整取 部分 提前 支取 计 息 公式,整存 整取 部分 提前 支取 计息 公式
106,,0,,0,整存 整取 到期 支取 的 计算 公式,整存 整取 到期 支取 的 计算 公式
107,,0,,0,整存 整取 全部 提前 支取 公式,整存 整取 全部 提前 支取 公式
108,! 转存,1,! 转 ! 存,2,整存 整取 转存 后 到期 支取 的 计算 公式,整存 整取 转 存 后 到期 支取 的 计算 公式
109,! 怎算,1,! 怎 ! 算,2,定期 利息 过期 支取 怎算 利息,定期 利息 过期 支取 怎 算 利息
110,,0,,0,定期 利息 怎么 算,定期 利息 怎么 算
111,,0,,0,定期 利息 支取 规定,定期 利息 支取 规定
112,,0,,0,定期 没有 到期 支取 利息 怎么 算,定期 没有 到期 支取 利息 怎么 算
113,! 一 ! 年,2,! 一年,1,定期 一 年 没 到期 支取 利息 有 吗,定期 一年 没 到期 支取 利息 有 吗
114,,0,,0,定期 支取 计算 利息 有 什么 规定,定期 支取 计算 利息 有 什么 规定
115,! 死期,1,! 死 ! 期,2,死期 如何 计算 利息,死 期 如何 计算 利息
116,,0,,0,整存 整取 未 到期 取 有 利息 吗,整存 整取 未 到期 取 有 利息 吗
117,,0,,0,整存 整取 怎么 计算 利息,整存 整取 怎么 计算 利息
118,,0,,0,整存 整取 支取 有 什么 要求,整存 整取 支取 有 什么 要求
119,! 六 ! 个 ! 最 ! 少,4,! 六个 ! 最少,2,办理 六 个 月 定期 最 少 多少 钱,办理 六个 月 定期 最少 多少 钱
120,! 三 ! 个 ! 最 ! 少,4,! 三个 ! 最少,2,办理 三 个 月 定期 最 少 多少 钱,办理 三个 月 定期 最少 多少 钱
121,! 一 ! 年 ! 最 ! 少,4,! 一年 ! 最少,2,办理 一 年 整存 整取 定期 最 少 存 多少 钱,办理 一年 整存 整取 定期 最少 存 多少 钱
122,! 最 ! 少,2,! 最少,1,定期 最 少 存 多少 钱,定期 最少 存 多少 钱
123,! 死期 ! 最 ! 少,3,! 死 ! 期 ! 最少,3,死期 最 少 存 多少 钱,死 期 最少 存 多少 钱
124,! 可以,1,! 可 ! 以,2,我 存 100 定期 可以 吗,我 存 100 定期 可 以 吗
125,! 10 ! 元 ! 可以,3,! 10元 ! 可 ! 以,3,我 存 10 元 定期 可以 吗,我 存 10元 定期 可 以 吗
126,! 1 ! 元 ! 可以,3,! 1元 ! 可 ! 以,3,我 存 1 元 定期 可以 吗,我 存 1元 定期 可 以 吗
127,,0,,0,我 想 存 定期 一般 多少 起 存,我 想 存 定期 一般 多少 起 存
128,! 最 ! 少,2,! 最少,1,整存 整取 定期 最 少 存 多少 钱,整存 整取 定期 最少 存 多少 钱
129,! 存死期,1,! 存 ! 死 ! 期,3,存死期 银行 能 代办 吗,存 死 期 银行 能 代办 吗
130,,0,,0,定期 存款 带 什么 去 柜台 办理,定期 存款 带 什么 去 柜台 办理
131,,0,,0,柜台 开 定期 都 需要 什么,柜台 开 定期 都 需要 什么
132,,0,,0,开 定期 存款 开户 直接 去 网点 吗,开 定期 存款 开户 直接 去 网点 吗
133,,0,,0,开 定期 能 代理 吗,开 定期 能 代理 吗
134,,0,,0,开 定期 需要 开 身份证 吗,开 定期 需要 开 身份证 吗
135,! 可以,1,! 可 ! 以,2,朋友 替 我 开 个 整存 定期 可以 吗,朋友 替 我 开 个 整存 定期 可 以 吗
136,! 可以,1,! 可 ! 以,2,我 想 给 我 孩子 办理 定期 可以 吗,我 想 给 我 孩子 办理 定期 可 以 吗
137,! 开定期 ! 怎么办,2,! 开 ! 定期 ! 怎么 ! 办,4,我 想 开定期 存款 怎么办,我 想 开 定期 存款 怎么 办
138,,0,,0,整存 整取 需要 带 什么 开户,整存 整取 需要 带 什么 开户
139,! 销户,1,! 销 ! 户,2,定期 存单 如何 销户,定期 存单 如何 销 户
140,! 销户,1,! 销 ! 户,2,定期 存折 如何 销户,定期 存折 如何 销 户
141,! 销户,1,! 销 ! 户,2,定期 销户 能 代办 吗,定期 销 户 能 代办 吗
142,! 整存销户,1,! 整存 ! 销 ! 户,3,定期 整存销户 要 不 要 代 身份证,定期 整存 销 户 要 不 要 代 身份证
143,! 死期,1,! 死 ! 期,2,死期 存单 代理 销 户,死 期 存单 代理 销 户
144,! 死期,1,! 死 ! 期,2,死期 没有 到期 能 取 吗,死 期 没有 到期 能 取 吗
145,! 销定期 ! 办理,2,! 销 ! 定期 ! 办 ! 理,4,销定期 存款 如何 办理,销 定期 存款 如何 办 理
146,! 销户,1,! 销 ! 户,2,整存 整取 如何 销户,整存 整取 如何 销 户
147,! 销户,1,! 销 ! 户,2,整存 整取 销户 代理,整存 整取 销 户 代理
148,! 销户,1,! 销 ! 户,2,整存 整取 销户 范围,整存 整取 销 户 范围
149,,0,,0,定期 支取 代理,定期 支取 代理
150,,0,,0,定期 支取 范围,定期 支取 范围
151,,0,,0,定期 支取 通存通兑 范围,定期 支取 通存通兑 范围
152,,0,,0,整存 整取 怎么 支取,整存 整取 怎么 支取
153,,0,,0,整存 整取 支取 代理,整存 整取 支取 代理
154,,0,,0,整存 整取 支取 带 什么,整存 整取 支取 带 什么
155,,0,,0,整存 整取 支取 范围,整存 整取 支取 范围
156,,0,,0,整存 整取 支取 通存通兑,整存 整取 支取 通存通兑
157,,0,,0,整存 整取 支取 有 次数 吗,整存 整取 支取 有 次数 吗
158,,0,,0,整存 整取 支取 有 过期 支取,整存 整取 支取 有 过期 支取
159,,0,,0,到期 整存 整取 能 转 存 吗,到期 整存 整取 能 转 存 吗
160,! 转存,1,! 转 ! 存,2,定期 存款 到期 了 转存 吗,定期 存款 到期 了 转 存 吗
161,! 转存,1,! 转 ! 存,2,定期 存款 到期 转存 可以 吗,定期 存款 到期 转 存 可以 吗
162,! 到期,1,! 到 ! 期,2,定期 到期 能 转 存 吗,定期 到 期 能 转 存 吗
163,! 转存 ! 几 ! 种,3,! 转 ! 存 ! 几种,3,定期 转存 业务 分为 哪 几 种,定期 转 存 业务 分为 哪 几种
164,! 死期 ! 转存 ! 几 ! 种,4,! 死 ! 期 ! 转 ! 存 ! 几种,5,死期 转存 业务 分为 哪 几 种,死 期 转 存 业务 分为 哪 几种
165,! 转存,1,! 转 ! 存,2,有 自动 转存 定期 存款 吗,有 自动 转 存 定期 存款 吗
166,! 转存 ! 还有,2,! 转 ! 存 ! 还 ! 有,4,约定 转存 定期 还有 别的 吗,约定 转 存 定期 还 有 别的 吗
167,! 转定期,1,! 转 ! 定期,2,整存 整取 到期 能 自动 在 转定期 吗,整存 整取 到期 能 自动 在 转 定期 吗
168,! 转存,1,! 转 ! 存,2,整存 整取 到期 转存 吗,整存 整取 到期 转 存 吗
169,,0,,0,存 多少 美元 需要 身份证,存 多少 美元 需要 身份证
170,! 5 ! 万 ! 元,3,! 5万元,1,存款 5 万 元 及 以上 必须 本人 办理 吗,存款 5万元 及 以上 必须 本人 办理 吗
171,,0,,0,存 美元 时 ， 金额 有 什么 限制,存 美元 时 ， 金额 有 什么 限制
172,! 存外币,1,! 存 ! 外币,2,存外币 需要 身份证 吗,存 外币 需要 身份证 吗
173,! 存钱,1,! 存 ! 钱,2,代理 存钱 需要 什么 证件,代理 存 钱 需要 什么 证件
174,,0,,0,到 郑州 银行 营业厅 存 美元 能 代理 办理 吗,到 郑州 银行 营业厅 存 美元 能 代理 办理 吗
175,,0,,0,我 的 身份证 丢 了 ， 可以 使用 复印件 办理 存款 吗,我 的 身份证 丢 了 ， 可以 使用 复印件 办理 存款 吗
176,,0,,0,我 能 到 郑州 银行 营业厅 替 别人 存 钱 吗,我 能 到 郑州 银行 营业厅 替 别人 存 钱 吗
177,! 无折存卡,1,! 无 ! 折 ! 存 ! 卡,4,无折存卡 有 什么 要求,无 折 存 卡 有 什么 要求
178,,0,,0,自己 存 多少 钱 时 需要 身份证,自己 存 多少 钱 时 需要 身份证
179,! 港 ! 澳 ! 身份 ! 证件,4,! 港澳 ! 身份证 ! 件,3,办理 个人 存款 业务 港 澳 居民 应 出具 什么 有效 身份 证件,办理 个人 存款 业务 港澳 居民 应 出具 什么 有效 身份证 件
180,,0,,0,办理 个人 存款 业务 护照 能 作为 有效 什么 证件 吗,办理 个人 存款 业务 护照 能 作为 有效 什么 证件 吗
181,,0,,0,办理 个人 存款 业务 华侨 的 有效 什么 证件 是 什么,办理 个人 存款 业务 华侨 的 有效 什么 证件 是 什么
182,! 警官证 ! 身份 ! 证件,3,! 警官 ! 证 ! 身份证 ! 件,4,办理 个人 存款 业务 警官证 能 作为 有效 身份 证件 吗,办理 个人 存款 业务 警官 证 能 作为 有效 身份证 件 吗
183,! 身份 ! 证件,2,! 身份证 ! 件,2,办理 个人 存款 业务 外国人 应 出具 什么 有效 身份 证件,办理 个人 存款 业务 外国人 应 出具 什么 有效 身份证 件
184,! 身份 ! 证件,2,! 身份证 ! 件,2,办理 个人 存款 业务 未成年人 应 出具 什么 有效 身份 证件,办理 个人 存款 业务 未成年人 应 出具 什么 有效 身份证 件
185,! 个人 ! 身份 ! 证件,3,! 个 ! 人 ! 身份证 ! 件,4,什么 是 个人 存款 有效 身份 证件,什么 是 个 人 存款 有效 身份证 件
186,,0,,0,我 是 警察 ， 办理 个人 存款 业务 应该 用 什么 证件,我 是 警察 ， 办理 个人 存款 业务 应该 用 什么 证件
187,,0,,0,有 什么 证件 能 作为 个人 存款 业务 辅助 证件,有 什么 证件 能 作为 个人 存款 业务 辅助 证件
188,! 怎么办,1,! 怎么 ! 办,2,证件 过期 怎么办,证件 过期 怎么 办
189,,0,,0,代理 取款 需要 什么 证件,代理 取款 需要 什么 证件
190,,0,,0,到 郑州 银行 营业厅 取 美元 能 代理 办理 吗,到 郑州 银行 营业厅 取 美元 能 代理 办理 吗
191,,0,,0,取 多少 美元 需要 身份证,取 多少 美元 需要 身份证
192,! 5 ! 万 ! 元,3,! 5万元,1,取款 5 万 元 及 以上 必须 本人 办理 吗,取款 5万元 及 以上 必须 本人 办理 吗
193,,0,,0,取 美元 时 ， 金额 有 什么 限制,取 美元 时 ， 金额 有 什么 限制
194,! 取外币,1,! 取 ! 外币,2,取外币 需要 身份证 吗,取 外币 需要 身份证 吗
195,,0,,0,我 的 身份证 丢 了 ， 可以 使用 复印件 办理 取款 吗,我 的 身份证 丢 了 ， 可以 使用 复印件 办理 取款 吗
196,,0,,0,我 能 到 郑州 银行 营业厅 替 别人 取 钱 吗,我 能 到 郑州 银行 营业厅 替 别人 取 钱 吗
197,! 无折取卡,1,! 无 ! 折 ! 取 ! 卡,4,无折取卡 有 什么 要求,无 折 取 卡 有 什么 要求
198,,0,,0,自己 取 多少 钱 时 需要 身份证,自己 取 多少 钱 时 需要 身份证
199,! 重 ! 写,2,! 重写,1,存折 重 写 磁能 代办 吗,存折 重写 磁能 代办 吗
200,! 支控,1,! 支 ! 控,2,更改 支控 方式 能 代办 吗,更改 支 控 方式 能 代办 吗
201,,0,,0,更换 印鉴 能 代办 吗,更换 印鉴 能 代办 吗
202,,0,,0,挂失 能 代办 吗,挂失 能 代办 吗
203,,0,,0,密码 必须 本人 办 吗,密码 必须 本人 办 吗
204,,0,,0,密码 能 代办 吗,密码 能 代办 吗
205,,0,,0,什么 业务 必须 本人 办理,什么 业务 必须 本人 办理
206,,0,,0,我 能 代理 办理 密码 问题 吗,我 能 代理 办理 密码 问题 吗
207,! 销户,1,! 销 ! 户,2,销户 能 代办 吗,销 户 能 代办 吗
208,,0,,0,账户 查询 能 代办 吗,账户 查询 能 代办 吗
209,! 残币,1,! 残 ! 币,2,残币 面积 如何 规定 的,残 币 面积 如何 规定 的
210,! 残币,1,! 残 ! 币,2,残币 如何 兑换,残 币 如何 兑换
211,! 残币,1,! 残 ! 币,2,什么 地方 能 兑换 残币,什么 地方 能 兑换 残 币
212,! 残币 ! 四分之三,2,! 残 ! 币 ! 四分 ! 之 ! 三,5,什么 是 残币 的 票面 四分之三,什么 是 残 币 的 票面 四分 之 三
213,! 残币,1,! 残 ! 币,2,所有 银行 都 能 换 残币 吗,所有 银行 都 能 换 残 币 吗
214,! 残币,1,! 残 ! 币,2,银行 能 换 残币 吗,银行 能 换 残 币 吗
215,,0,,0,这 钱 破 了 ， 怎么 换,这 钱 破 了 ， 怎么 换
